Zeegelaar,Marvin,Udinese
LB,LM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,77
NON_PEN_XG,0.09,89
TOTAL_SHOTS,0.43,32
ASSISTS,0.00,8
XA,0.06,30
NON_PEN_XG+XA,0.16,70
SHOT_CREATIONS,1.08,15
PASSES_ATTEMPTED,41.62,10
PASS_COMPLETION_PERCENTAGE,79.9,66
PROGRESSIVE_PASSES,2.95,25
PROGRESSIVE CARRIES,2.88,13
DRIBBLES_COMPLETED,1.15,77
TOUCHES_IN_AREA,1.80,68
PROGRESSIVE_PASSES_RECIEVED,1.66,32
PRESSURES,13.61,63
TACKLES,2.09,55
INTERCEPTIONS,1.01,6
BLOCKS,2.02,63
CLEARANCES,2.16,40
AERIAL_DUELS_WON,1.87,87
