Becão,Rodrigo,Udinese
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,38
NON_PEN_XG,0.03,24
TOTAL_SHOTS,0.44,43
ASSISTS,0.03,61
XA,0.02,66
NON_PEN_XG+XA,0.05,30
SHOT_CREATIONS,0.61,59
PASSES_ATTEMPTED,42.10,17
PASS_COMPLETION_PERCENTAGE,87.5,58
PROGRESSIVE_PASSES,1.68,12
PROGRESSIVE CARRIES,2.54,48
DRIBBLES_COMPLETED,0.14,28
TOUCHES_IN_AREA,0.91,64
PROGRESSIVE_PASSES_RECIEVED,0.41,88
PRESSURES,13.20,93
TACKLES,2.46,93
INTERCEPTIONS,1.44,27
BLOCKS,1.93,76
CLEARANCES,4.17,26
AERIAL_DUELS_WON,2.04,25
