Deulofeu,Gerard,Udinese
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,40
NON_PEN_XG,0.25,21
TOTAL_SHOTS,2.72,69
ASSISTS,0.13,47
XA,0.22,90
NON_PEN_XG+XA,0.46,47
SHOT_CREATIONS,4.30,96
PASSES_ATTEMPTED,37.79,92
PASS_COMPLETION_PERCENTAGE,70.2,35
PROGRESSIVE_PASSES,4.17,96
PROGRESSIVE CARRIES,9.42,99
DRIBBLES_COMPLETED,1.77,90
TOUCHES_IN_AREA,6.32,82
PROGRESSIVE_PASSES_RECIEVED,5.63,16
PRESSURES,17.82,78
TACKLES,0.51,33
INTERCEPTIONS,1.01,99
BLOCKS,0.88,67
CLEARANCES,0.06,4
AERIAL_DUELS_WON,0.00,1
