Arslan,Tolgay,Udinese
DM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,84
NON_PEN_XG,0.09,71
TOTAL_SHOTS,1.44,83
ASSISTS,0.00,11
XA,0.05,34
NON_PEN_XG+XA,0.14,50
SHOT_CREATIONS,1.85,53
PASSES_ATTEMPTED,40.96,22
PASS_COMPLETION_PERCENTAGE,83.7,50
PROGRESSIVE_PASSES,2.75,17
PROGRESSIVE CARRIES,6.86,91
DRIBBLES_COMPLETED,1.26,83
TOUCHES_IN_AREA,1.71,78
PROGRESSIVE_PASSES_RECIEVED,1.85,56
PRESSURES,17.59,44
TACKLES,2.44,61
INTERCEPTIONS,1.22,24
BLOCKS,1.40,37
CLEARANCES,0.50,4
AERIAL_DUELS_WON,0.45,8
