Stryger Larsen,Jens,Udinese
RB,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,70
NON_PEN_XG,0.11,95
TOTAL_SHOTS,1.04,86
ASSISTS,0.03,21
XA,0.06,30
NON_PEN_XG+XA,0.17,75
SHOT_CREATIONS,1.41,35
PASSES_ATTEMPTED,44.26,15
PASS_COMPLETION_PERCENTAGE,77.7,53
PROGRESSIVE_PASSES,3.17,35
PROGRESSIVE CARRIES,3.80,30
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,1.47,57
PROGRESSIVE_PASSES_RECIEVED,1.98,45
PRESSURES,8.53,5
TACKLES,0.66,1
INTERCEPTIONS,1.10,10
BLOCKS,1.79,44
CLEARANCES,1.69,20
AERIAL_DUELS_WON,0.78,25
