Pussetto,Ignacio,Udinese
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,3
NON_PEN_XG,0.29,28
TOTAL_SHOTS,2.17,35
ASSISTS,0.20,76
XA,0.16,69
NON_PEN_XG+XA,0.44,42
SHOT_CREATIONS,2.66,70
PASSES_ATTEMPTED,23.93,55
PASS_COMPLETION_PERCENTAGE,72.0,46
PROGRESSIVE_PASSES,1.48,52
PROGRESSIVE CARRIES,3.15,59
DRIBBLES_COMPLETED,1.38,71
TOUCHES_IN_AREA,6.01,76
PROGRESSIVE_PASSES_RECIEVED,6.70,35
PRESSURES,19.60,87
TACKLES,2.17,99
INTERCEPTIONS,0.69,85
BLOCKS,2.17,99
CLEARANCES,0.49,35
AERIAL_DUELS_WON,3.15,78
