Santos,Samir,Udinese
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,62
TOTAL_SHOTS,0.38,34
ASSISTS,0.00,28
XA,0.01,53
NON_PEN_XG+XA,0.07,55
SHOT_CREATIONS,0.80,79
PASSES_ATTEMPTED,48.54,36
PASS_COMPLETION_PERCENTAGE,83.8,30
PROGRESSIVE_PASSES,2.27,36
PROGRESSIVE CARRIES,2.65,51
DRIBBLES_COMPLETED,0.31,72
TOUCHES_IN_AREA,0.87,58
PROGRESSIVE_PASSES_RECIEVED,0.31,80
PRESSURES,12.00,86
TACKLES,2.48,94
INTERCEPTIONS,2.65,94
BLOCKS,2.16,88
CLEARANCES,3.87,16
AERIAL_DUELS_WON,2.79,59
