Soppy,Brandon,Udinese
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,54
TOTAL_SHOTS,0.77,70
ASSISTS,0.00,8
XA,0.02,2
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,1.73,55
PASSES_ATTEMPTED,58.78,75
PASS_COMPLETION_PERCENTAGE,79.7,65
PROGRESSIVE_PASSES,4.24,72
PROGRESSIVE CARRIES,6.55,85
DRIBBLES_COMPLETED,1.93,94
TOUCHES_IN_AREA,2.70,87
PROGRESSIVE_PASSES_RECIEVED,1.93,43
PRESSURES,17.54,91
TACKLES,3.66,96
INTERCEPTIONS,1.35,29
BLOCKS,1.16,3
CLEARANCES,1.54,17
AERIAL_DUELS_WON,0.96,35
