Molina,Nahuel,Udinese
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,91
NON_PEN_XG,0.10,91
TOTAL_SHOTS,0.86,77
ASSISTS,0.20,89
XA,0.14,82
NON_PEN_XG+XA,0.23,88
SHOT_CREATIONS,2.19,78
PASSES_ATTEMPTED,47.52,27
PASS_COMPLETION_PERCENTAGE,76.0,36
PROGRESSIVE_PASSES,3.52,48
PROGRESSIVE CARRIES,4.45,48
DRIBBLES_COMPLETED,0.93,61
TOUCHES_IN_AREA,1.93,73
PROGRESSIVE_PASSES_RECIEVED,3.06,79
PRESSURES,14.41,73
TACKLES,1.46,15
INTERCEPTIONS,1.76,63
BLOCKS,2.19,76
CLEARANCES,2.19,40
AERIAL_DUELS_WON,0.60,14
