Lemina,Mario,Nice
CM,DM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,35
NON_PEN_XG,0.05,37
TOTAL_SHOTS,0.71,34
ASSISTS,0.00,11
XA,0.03,16
NON_PEN_XG+XA,0.08,22
SHOT_CREATIONS,1.07,11
PASSES_ATTEMPTED,50.57,51
PASS_COMPLETION_PERCENTAGE,87.3,80
PROGRESSIVE_PASSES,3.20,33
PROGRESSIVE CARRIES,4.66,67
DRIBBLES_COMPLETED,1.10,74
TOUCHES_IN_AREA,0.71,26
PROGRESSIVE_PASSES_RECIEVED,1.24,33
PRESSURES,14.65,18
TACKLES,3.06,88
INTERCEPTIONS,2.49,94
BLOCKS,1.32,28
CLEARANCES,1.92,76
AERIAL_DUELS_WON,1.17,50
