Kluivert,Justin,Nice
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,59
NON_PEN_XG,0.27,78
TOTAL_SHOTS,1.68,32
ASSISTS,0.24,71
XA,0.21,69
NON_PEN_XG+XA,0.47,72
SHOT_CREATIONS,2.80,30
PASSES_ATTEMPTED,29.28,12
PASS_COMPLETION_PERCENTAGE,68.3,14
PROGRESSIVE_PASSES,2.48,26
PROGRESSIVE CARRIES,6.08,51
DRIBBLES_COMPLETED,2.00,65
TOUCHES_IN_AREA,4.96,73
PROGRESSIVE_PASSES_RECIEVED,6.48,52
PRESSURES,14.88,39
TACKLES,0.64,4
INTERCEPTIONS,0.64,25
BLOCKS,1.28,57
CLEARANCES,0.16,9
AERIAL_DUELS_WON,1.04,76
