Lotomba,Jordan,Nice
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,62
NON_PEN_XG,0.02,28
TOTAL_SHOTS,0.42,30
ASSISTS,0.00,8
XA,0.07,46
NON_PEN_XG+XA,0.09,34
SHOT_CREATIONS,1.20,20
PASSES_ATTEMPTED,56.33,65
PASS_COMPLETION_PERCENTAGE,82.5,81
PROGRESSIVE_PASSES,3.69,53
PROGRESSIVE CARRIES,5.72,74
DRIBBLES_COMPLETED,1.14,76
TOUCHES_IN_AREA,1.46,55
PROGRESSIVE_PASSES_RECIEVED,1.87,39
PRESSURES,12.21,46
TACKLES,1.51,17
INTERCEPTIONS,1.04,7
BLOCKS,1.87,52
CLEARANCES,2.49,57
AERIAL_DUELS_WON,1.14,47
