Gouiri,Amine,Nice
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,44
NON_PEN_XG,0.35,48
TOTAL_SHOTS,2.26,39
ASSISTS,0.24,85
XA,0.20,85
NON_PEN_XG+XA,0.54,65
SHOT_CREATIONS,4.34,96
PASSES_ATTEMPTED,35.42,88
PASS_COMPLETION_PERCENTAGE,75.0,66
PROGRESSIVE_PASSES,2.35,81
PROGRESSIVE CARRIES,6.94,94
DRIBBLES_COMPLETED,1.57,82
TOUCHES_IN_AREA,6.03,78
PROGRESSIVE_PASSES_RECIEVED,8.75,77
PRESSURES,12.16,27
TACKLES,1.12,82
INTERCEPTIONS,0.45,62
BLOCKS,1.30,93
CLEARANCES,0.54,39
AERIAL_DUELS_WON,0.57,9
