Benítez,Walter,Nice
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.04,48
GOALS_CONCEDED,1.26,62
SAVE_PERCENTAGE,72.7,77
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.27,21
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,23.8,47
TOUCHES,29.69,11
LAUNCH_PERCENTAGE,30.5,18
GOAL_KICKS,7.21,43
AVG_GOAL_KICK_DISTANCE,42.8,39
CROSSES_STOPPED_PERCENTAGE,5.2,13
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.55,35
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.4,49
