Daniliuc,Flavius,Nice
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,65
NON_PEN_XG,0.02,18
TOTAL_SHOTS,0.35,25
ASSISTS,0.00,28
XA,0.01,46
NON_PEN_XG+XA,0.04,17
SHOT_CREATIONS,0.53,49
PASSES_ATTEMPTED,61.31,73
PASS_COMPLETION_PERCENTAGE,87.5,58
PROGRESSIVE_PASSES,3.64,80
PROGRESSIVE CARRIES,5.06,91
DRIBBLES_COMPLETED,0.29,70
TOUCHES_IN_AREA,0.53,20
PROGRESSIVE_PASSES_RECIEVED,0.24,70
PRESSURES,11.11,78
TACKLES,1.76,68
INTERCEPTIONS,1.29,16
BLOCKS,1.82,67
CLEARANCES,3.06,5
AERIAL_DUELS_WON,1.18,2
