Todibo,Jean-Clair,Nice
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,70
NON_PEN_XG,0.08,88
TOTAL_SHOTS,0.63,75
ASSISTS,0.00,28
XA,0.02,70
NON_PEN_XG+XA,0.10,89
SHOT_CREATIONS,0.83,82
PASSES_ATTEMPTED,70.86,91
PASS_COMPLETION_PERCENTAGE,89.0,71
PROGRESSIVE_PASSES,3.59,79
PROGRESSIVE CARRIES,5.27,93
DRIBBLES_COMPLETED,0.54,91
TOUCHES_IN_AREA,1.02,73
PROGRESSIVE_PASSES_RECIEVED,0.19,62
PRESSURES,10.32,69
TACKLES,2.19,85
INTERCEPTIONS,2.03,71
BLOCKS,1.37,18
CLEARANCES,4.63,40
AERIAL_DUELS_WON,2.25,39
