Masiello,Andrea,Genoa
CB,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,13
TOTAL_SHOTS,0.26,11
ASSISTS,0.00,28
XA,0.01,42
NON_PEN_XG+XA,0.03,11
SHOT_CREATIONS,0.51,46
PASSES_ATTEMPTED,49.53,39
PASS_COMPLETION_PERCENTAGE,86.1,44
PROGRESSIVE_PASSES,2.44,43
PROGRESSIVE CARRIES,2.00,34
DRIBBLES_COMPLETED,0.04,5
TOUCHES_IN_AREA,0.51,18
PROGRESSIVE_PASSES_RECIEVED,0.11,35
PRESSURES,9.83,65
TACKLES,1.42,46
INTERCEPTIONS,1.57,40
BLOCKS,1.60,47
CLEARANCES,5.43,65
AERIAL_DUELS_WON,1.53,9
