Sirigu,Salvatore,Genoa
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.28,5
GOALS_CONCEDED,1.85,9
SAVE_PERCENTAGE,63.8,21
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,20.5,36
TOUCHES,35.13,45
LAUNCH_PERCENTAGE,50.0,72
GOAL_KICKS,7.44,51
AVG_GOAL_KICK_DISTANCE,42.3,38
CROSSES_STOPPED_PERCENTAGE,6.6,34
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.51,30
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.3,20
