Rovella,Nicolò,Genoa
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.05,38
TOTAL_SHOTS,0.92,48
ASSISTS,0.23,95
XA,0.14,89
NON_PEN_XG+XA,0.19,78
SHOT_CREATIONS,2.82,86
PASSES_ATTEMPTED,62.22,78
PASS_COMPLETION_PERCENTAGE,83.7,50
PROGRESSIVE_PASSES,3.37,40
PROGRESSIVE CARRIES,4.25,59
DRIBBLES_COMPLETED,0.97,65
TOUCHES_IN_AREA,0.37,7
PROGRESSIVE_PASSES_RECIEVED,1.20,30
PRESSURES,24.64,93
TACKLES,2.40,58
INTERCEPTIONS,1.94,77
BLOCKS,1.85,75
CLEARANCES,1.53,50
AERIAL_DUELS_WON,0.42,7
