Biraschi,Davide,Genoa
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,3
TOTAL_SHOTS,0.33,23
ASSISTS,0.00,28
XA,0.02,67
NON_PEN_XG+XA,0.03,9
SHOT_CREATIONS,0.40,29
PASSES_ATTEMPTED,43.60,20
PASS_COMPLETION_PERCENTAGE,77.2,5
PROGRESSIVE_PASSES,3.33,75
PROGRESSIVE CARRIES,2.67,51
DRIBBLES_COMPLETED,0.93,99
TOUCHES_IN_AREA,0.40,11
PROGRESSIVE_PASSES_RECIEVED,0.93,97
PRESSURES,15.60,98
TACKLES,2.53,95
INTERCEPTIONS,1.73,52
BLOCKS,2.27,92
CLEARANCES,2.87,4
AERIAL_DUELS_WON,1.93,19
