Touré,Abdoulaye,Genoa
CM,DM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,56
NON_PEN_XG,0.09,71
TOTAL_SHOTS,1.11,67
ASSISTS,0.06,49
XA,0.07,51
NON_PEN_XG+XA,0.15,59
SHOT_CREATIONS,1.60,38
PASSES_ATTEMPTED,42.26,26
PASS_COMPLETION_PERCENTAGE,83.4,47
PROGRESSIVE_PASSES,2.89,21
PROGRESSIVE CARRIES,3.32,38
DRIBBLES_COMPLETED,0.98,66
TOUCHES_IN_AREA,0.98,45
PROGRESSIVE_PASSES_RECIEVED,0.80,14
PRESSURES,18.39,48
TACKLES,2.03,41
INTERCEPTIONS,1.48,39
BLOCKS,1.66,59
CLEARANCES,2.03,82
AERIAL_DUELS_WON,1.85,75
