Badelj,Milan,Genoa
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,31
NON_PEN_XG,0.01,6
TOTAL_SHOTS,0.50,18
ASSISTS,0.09,63
XA,0.11,81
NON_PEN_XG+XA,0.12,46
SHOT_CREATIONS,2.04,62
PASSES_ATTEMPTED,56.42,66
PASS_COMPLETION_PERCENTAGE,82.4,41
PROGRESSIVE_PASSES,5.03,76
PROGRESSIVE CARRIES,2.84,25
DRIBBLES_COMPLETED,1.21,80
TOUCHES_IN_AREA,0.59,18
PROGRESSIVE_PASSES_RECIEVED,1.13,25
PRESSURES,16.64,32
TACKLES,2.16,48
INTERCEPTIONS,3.91,99
BLOCKS,1.87,76
CLEARANCES,1.30,41
AERIAL_DUELS_WON,0.77,30
