"b'Maksimovic, Nikola'",Genoa
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,17
TOTAL_SHOTS,0.37,29
ASSISTS,0.00,28
XA,0.01,21
NON_PEN_XG+XA,0.03,13
SHOT_CREATIONS,0.63,63
PASSES_ATTEMPTED,65.52,81
PASS_COMPLETION_PERCENTAGE,92.9,95
PROGRESSIVE_PASSES,2.75,54
PROGRESSIVE CARRIES,3.17,64
DRIBBLES_COMPLETED,0.26,64
TOUCHES_IN_AREA,0.79,50
PROGRESSIVE_PASSES_RECIEVED,0.16,52
PRESSURES,8.78,50
TACKLES,1.48,51
INTERCEPTIONS,1.53,35
BLOCKS,1.85,70
CLEARANCES,4.76,46
AERIAL_DUELS_WON,2.43,45
