Boyé,Lucas,Elche
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,32
NON_PEN_XG,0.24,18
TOTAL_SHOTS,2.22,38
ASSISTS,0.06,23
XA,0.05,9
NON_PEN_XG+XA,0.29,6
SHOT_CREATIONS,1.74,21
PASSES_ATTEMPTED,22.77,46
PASS_COMPLETION_PERCENTAGE,76.9,77
PROGRESSIVE_PASSES,1.15,28
PROGRESSIVE CARRIES,2.93,52
DRIBBLES_COMPLETED,2.28,96
TOUCHES_IN_AREA,3.77,9
PROGRESSIVE_PASSES_RECIEVED,6.78,36
PRESSURES,20.40,92
TACKLES,1.58,98
INTERCEPTIONS,0.73,91
BLOCKS,1.41,95
CLEARANCES,0.82,70
AERIAL_DUELS_WON,1.38,35
