Morente,Tete,Elche
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,8
NON_PEN_XG,0.10,7
TOTAL_SHOTS,0.82,2
ASSISTS,0.27,80
XA,0.16,47
NON_PEN_XG+XA,0.26,18
SHOT_CREATIONS,2.09,8
PASSES_ATTEMPTED,34.86,30
PASS_COMPLETION_PERCENTAGE,74.9,45
PROGRESSIVE_PASSES,2.47,25
PROGRESSIVE CARRIES,4.34,14
DRIBBLES_COMPLETED,1.92,63
TOUCHES_IN_AREA,2.09,7
PROGRESSIVE_PASSES_RECIEVED,4.01,9
PRESSURES,15.61,48
TACKLES,1.92,82
INTERCEPTIONS,0.82,45
BLOCKS,1.48,76
CLEARANCES,1.21,94
AERIAL_DUELS_WON,0.77,62
