Benedetto,Darío,Elche
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,26
NON_PEN_XG,0.43,72
TOTAL_SHOTS,2.30,41
ASSISTS,0.13,47
XA,0.14,61
NON_PEN_XG+XA,0.57,71
SHOT_CREATIONS,1.66,17
PASSES_ATTEMPTED,20.07,24
PASS_COMPLETION_PERCENTAGE,70.1,34
PROGRESSIVE_PASSES,1.47,52
PROGRESSIVE CARRIES,1.53,11
DRIBBLES_COMPLETED,1.09,57
TOUCHES_IN_AREA,3.58,7
PROGRESSIVE_PASSES_RECIEVED,5.56,16
PRESSURES,11.31,21
TACKLES,0.45,25
INTERCEPTIONS,0.19,10
BLOCKS,0.58,26
CLEARANCES,0.51,36
AERIAL_DUELS_WON,1.47,37
