Casilla,Kiko,Elche
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.09,86
GOALS_CONCEDED,1.13,73
SAVE_PERCENTAGE,74.2,84
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.28,30
CLEAN_SHEET_PERCENTAGE,26.7,53
TOUCHES,36.40,58
LAUNCH_PERCENTAGE,46.4,61
GOAL_KICKS,10.00,99
AVG_GOAL_KICK_DISTANCE,42.1,37
CROSSES_STOPPED_PERCENTAGE,7.2,49
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.73,64
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.4,80
