Badía,Édgar,Elche
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.09,36
GOALS_CONCEDED,1.83,9
SAVE_PERCENTAGE,65.7,34
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,30.0,80
CLEAN_SHEET_PERCENTAGE,4.2,2
TOUCHES,38.92,74
LAUNCH_PERCENTAGE,41.9,46
GOAL_KICKS,9.42,98
AVG_GOAL_KICK_DISTANCE,45.1,47
CROSSES_STOPPED_PERCENTAGE,8.6,71
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.67,57
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.1,38
