Gagliolo,Riccardo,Salernitana
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,50
NON_PEN_XG,0.09,93
TOTAL_SHOTS,0.86,92
ASSISTS,0.08,95
XA,0.04,92
NON_PEN_XG+XA,0.13,96
SHOT_CREATIONS,1.23,96
PASSES_ATTEMPTED,53.98,52
PASS_COMPLETION_PERCENTAGE,80.3,12
PROGRESSIVE_PASSES,4.69,94
PROGRESSIVE CARRIES,4.23,83
DRIBBLES_COMPLETED,0.29,69
TOUCHES_IN_AREA,1.44,94
PROGRESSIVE_PASSES_RECIEVED,0.82,96
PRESSURES,10.81,75
TACKLES,2.10,81
INTERCEPTIONS,2.10,75
BLOCKS,1.89,73
CLEARANCES,3.91,17
AERIAL_DUELS_WON,1.48,8
