Gondo,Cedric,Salernitana
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,8
NON_PEN_XG,0.22,12
TOTAL_SHOTS,2.65,65
ASSISTS,0.00,5
XA,0.10,38
NON_PEN_XG+XA,0.33,13
SHOT_CREATIONS,2.82,72
PASSES_ATTEMPTED,23.20,51
PASS_COMPLETION_PERCENTAGE,76.4,74
PROGRESSIVE_PASSES,0.99,17
PROGRESSIVE CARRIES,3.98,77
DRIBBLES_COMPLETED,1.16,64
TOUCHES_IN_AREA,8.12,97
PROGRESSIVE_PASSES_RECIEVED,12.43,99
PRESSURES,16.41,69
TACKLES,0.66,47
INTERCEPTIONS,0.50,69
BLOCKS,0.66,37
CLEARANCES,0.00,1
AERIAL_DUELS_WON,2.65,71
