Coulibaly,Lassana,Salernitana
FW,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,38
NON_PEN_XG,0.04,26
TOTAL_SHOTS,0.84,42
ASSISTS,0.04,32
XA,0.05,37
NON_PEN_XG+XA,0.09,23
SHOT_CREATIONS,1.08,12
PASSES_ATTEMPTED,31.49,5
PASS_COMPLETION_PERCENTAGE,81.4,34
PROGRESSIVE_PASSES,2.48,12
PROGRESSIVE CARRIES,3.96,51
DRIBBLES_COMPLETED,1.20,78
TOUCHES_IN_AREA,0.84,35
PROGRESSIVE_PASSES_RECIEVED,1.28,34
PRESSURES,21.97,84
TACKLES,3.16,89
INTERCEPTIONS,1.68,56
BLOCKS,1.60,56
CLEARANCES,2.08,83
AERIAL_DUELS_WON,1.44,62
