Belec,Vid,Salernitana
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.44,1
GOALS_CONCEDED,2.18,2
SAVE_PERCENTAGE,60.9,5
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,39
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,5.9,3
TOUCHES,28.47,6
LAUNCH_PERCENTAGE,50.5,73
GOAL_KICKS,8.35,84
AVG_GOAL_KICK_DISTANCE,52.0,77
CROSSES_STOPPED_PERCENTAGE,6.3,27
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.35,11
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.9,12
