Coulibaly,Mamadou,Salernitana
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,98
NON_PEN_XG,0.15,93
TOTAL_SHOTS,1.09,64
ASSISTS,0.00,11
XA,0.03,15
NON_PEN_XG+XA,0.18,71
SHOT_CREATIONS,2.45,77
PASSES_ATTEMPTED,36.03,13
PASS_COMPLETION_PERCENTAGE,74.3,6
PROGRESSIVE_PASSES,2.99,24
PROGRESSIVE CARRIES,4.49,64
DRIBBLES_COMPLETED,1.77,94
TOUCHES_IN_AREA,1.77,79
PROGRESSIVE_PASSES_RECIEVED,2.99,83
PRESSURES,21.48,80
TACKLES,2.58,71
INTERCEPTIONS,2.45,93
BLOCKS,2.45,97
CLEARANCES,1.36,44
AERIAL_DUELS_WON,0.95,40
