Bonazzoli,Federico,Salernitana
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,19
NON_PEN_XG,0.14,1
TOTAL_SHOTS,2.56,58
ASSISTS,0.00,5
XA,0.04,4
NON_PEN_XG+XA,0.17,1
SHOT_CREATIONS,1.50,11
PASSES_ATTEMPTED,26.84,69
PASS_COMPLETION_PERCENTAGE,73.4,55
PROGRESSIVE_PASSES,1.73,63
PROGRESSIVE CARRIES,2.33,38
DRIBBLES_COMPLETED,1.13,61
TOUCHES_IN_AREA,3.38,5
PROGRESSIVE_PASSES_RECIEVED,6.47,30
PRESSURES,15.79,63
TACKLES,1.28,90
INTERCEPTIONS,0.30,31
BLOCKS,0.90,69
CLEARANCES,0.45,33
AERIAL_DUELS_WON,0.98,24
