Nwankwo,Simeon,Salernitana
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.40,58
NON_PEN_XG,0.36,53
TOTAL_SHOTS,1.90,18
ASSISTS,0.10,39
XA,0.05,7
NON_PEN_XG+XA,0.41,32
SHOT_CREATIONS,1.67,18
PASSES_ATTEMPTED,21.72,39
PASS_COMPLETION_PERCENTAGE,76.5,75
PROGRESSIVE_PASSES,0.77,8
PROGRESSIVE CARRIES,1.30,7
DRIBBLES_COMPLETED,0.80,32
TOUCHES_IN_AREA,4.20,17
PROGRESSIVE_PASSES_RECIEVED,6.83,37
PRESSURES,12.46,30
TACKLES,0.40,17
INTERCEPTIONS,0.27,27
BLOCKS,0.80,61
CLEARANCES,1.23,92
AERIAL_DUELS_WON,2.13,62
