Kastanos,Grigoris,Salernitana
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.11,81
TOTAL_SHOTS,2.39,98
ASSISTS,0.13,79
XA,0.13,88
NON_PEN_XG+XA,0.24,86
SHOT_CREATIONS,4.12,98
PASSES_ATTEMPTED,44.73,32
PASS_COMPLETION_PERCENTAGE,69.4,1
PROGRESSIVE_PASSES,4.12,56
PROGRESSIVE CARRIES,4.51,64
DRIBBLES_COMPLETED,1.06,71
TOUCHES_IN_AREA,1.86,80
PROGRESSIVE_PASSES_RECIEVED,4.38,93
PRESSURES,16.86,33
TACKLES,2.52,65
INTERCEPTIONS,1.59,50
BLOCKS,1.19,19
CLEARANCES,0.27,1
AERIAL_DUELS_WON,1.46,63
