Soriano,Roberto,Bologna
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,18
NON_PEN_XG,0.12,15
TOTAL_SHOTS,1.51,23
ASSISTS,0.10,20
XA,0.14,36
NON_PEN_XG+XA,0.26,16
SHOT_CREATIONS,3.00,39
PASSES_ATTEMPTED,44.07,70
PASS_COMPLETION_PERCENTAGE,82.4,88
PROGRESSIVE_PASSES,4.51,81
PROGRESSIVE CARRIES,4.85,24
DRIBBLES_COMPLETED,0.96,16
TOUCHES_IN_AREA,2.43,12
PROGRESSIVE_PASSES_RECIEVED,4.77,19
PRESSURES,17.73,64
TACKLES,1.67,71
INTERCEPTIONS,0.78,36
BLOCKS,1.10,42
CLEARANCES,1.33,96
AERIAL_DUELS_WON,1.02,75
