Domínguez,Nicolás,Bologna
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.07,60
TOTAL_SHOTS,0.89,45
ASSISTS,0.08,60
XA,0.10,74
NON_PEN_XG+XA,0.17,69
SHOT_CREATIONS,2.86,87
PASSES_ATTEMPTED,52.97,57
PASS_COMPLETION_PERCENTAGE,85.2,59
PROGRESSIVE_PASSES,4.43,64
PROGRESSIVE CARRIES,3.42,41
DRIBBLES_COMPLETED,0.52,26
TOUCHES_IN_AREA,1.49,69
PROGRESSIVE_PASSES_RECIEVED,2.01,62
PRESSURES,24.43,92
TACKLES,3.50,95
INTERCEPTIONS,1.73,62
BLOCKS,2.13,89
CLEARANCES,1.65,59
AERIAL_DUELS_WON,1.49,64
