Svanberg,Mattias,Bologna
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,97
NON_PEN_XG,0.16,94
TOTAL_SHOTS,2.25,98
ASSISTS,0.11,71
XA,0.12,84
NON_PEN_XG+XA,0.29,91
SHOT_CREATIONS,2.25,69
PASSES_ATTEMPTED,33.92,8
PASS_COMPLETION_PERCENTAGE,75.8,8
PROGRESSIVE_PASSES,2.86,20
PROGRESSIVE CARRIES,3.29,38
DRIBBLES_COMPLETED,0.86,58
TOUCHES_IN_AREA,1.47,68
PROGRESSIVE_PASSES_RECIEVED,2.04,63
PRESSURES,15.37,23
TACKLES,1.79,27
INTERCEPTIONS,1.57,48
BLOCKS,1.43,40
CLEARANCES,1.14,30
AERIAL_DUELS_WON,1.04,46
