Bonifazi,Kevin,Bologna
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,54
TOTAL_SHOTS,0.67,77
ASSISTS,0.00,28
XA,0.01,36
NON_PEN_XG+XA,0.06,45
SHOT_CREATIONS,0.32,15
PASSES_ATTEMPTED,48.35,35
PASS_COMPLETION_PERCENTAGE,88.2,65
PROGRESSIVE_PASSES,1.92,20
PROGRESSIVE CARRIES,2.59,49
DRIBBLES_COMPLETED,0.57,92
TOUCHES_IN_AREA,0.86,57
PROGRESSIVE_PASSES_RECIEVED,0.10,29
PRESSURES,9.42,60
TACKLES,1.47,50
INTERCEPTIONS,1.63,44
BLOCKS,1.56,41
CLEARANCES,4.25,28
AERIAL_DUELS_WON,2.08,28
