Viola,Nicolas,Bologna
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,68
NON_PEN_XG,0.07,55
TOTAL_SHOTS,1.27,76
ASSISTS,0.17,88
XA,0.12,83
NON_PEN_XG+XA,0.18,71
SHOT_CREATIONS,2.45,77
PASSES_ATTEMPTED,44.66,32
PASS_COMPLETION_PERCENTAGE,67.2,1
PROGRESSIVE_PASSES,3.98,53
PROGRESSIVE CARRIES,2.11,13
DRIBBLES_COMPLETED,0.76,48
TOUCHES_IN_AREA,1.27,59
PROGRESSIVE_PASSES_RECIEVED,0.85,15
PRESSURES,15.23,20
TACKLES,1.52,14
INTERCEPTIONS,1.44,36
BLOCKS,1.02,8
CLEARANCES,0.68,8
AERIAL_DUELS_WON,1.02,45
