De Silvestri,Lorenzo,Bologna
DM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,95
NON_PEN_XG,0.07,80
TOTAL_SHOTS,0.39,27
ASSISTS,0.04,24
XA,0.07,40
NON_PEN_XG+XA,0.14,61
SHOT_CREATIONS,1.30,28
PASSES_ATTEMPTED,54.24,59
PASS_COMPLETION_PERCENTAGE,77.3,48
PROGRESSIVE_PASSES,3.55,50
PROGRESSIVE CARRIES,3.11,14
DRIBBLES_COMPLETED,0.20,4
TOUCHES_IN_AREA,1.18,43
PROGRESSIVE_PASSES_RECIEVED,1.10,14
PRESSURES,10.76,22
TACKLES,1.62,22
INTERCEPTIONS,1.34,29
BLOCKS,2.40,86
CLEARANCES,3.00,79
AERIAL_DUELS_WON,2.80,97
