Barrow,Musa,Bologna
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,66
NON_PEN_XG,0.24,64
TOTAL_SHOTS,2.70,81
ASSISTS,0.26,77
XA,0.16,42
NON_PEN_XG+XA,0.39,55
SHOT_CREATIONS,3.19,50
PASSES_ATTEMPTED,34.91,32
PASS_COMPLETION_PERCENTAGE,74.2,37
PROGRESSIVE_PASSES,2.10,16
PROGRESSIVE CARRIES,4.83,24
DRIBBLES_COMPLETED,1.06,22
TOUCHES_IN_AREA,4.08,54
PROGRESSIVE_PASSES_RECIEVED,8.13,85
PRESSURES,15.34,45
TACKLES,0.63,4
INTERCEPTIONS,0.55,16
BLOCKS,1.03,34
CLEARANCES,0.40,33
AERIAL_DUELS_WON,0.95,71
