Sabitzer,Marcel,Bayern Munich
AM,CM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,90
NON_PEN_XG,0.20,97
TOTAL_SHOTS,2.62,99
ASSISTS,0.08,61
XA,0.10,78
NON_PEN_XG+XA,0.31,94
SHOT_CREATIONS,2.62,82
PASSES_ATTEMPTED,64.55,83
PASS_COMPLETION_PERCENTAGE,80.3,28
PROGRESSIVE_PASSES,6.56,93
PROGRESSIVE CARRIES,4.52,65
DRIBBLES_COMPLETED,0.62,34
TOUCHES_IN_AREA,2.08,85
PROGRESSIVE_PASSES_RECIEVED,4.28,92
PRESSURES,13.82,11
TACKLES,1.54,14
INTERCEPTIONS,1.62,52
BLOCKS,1.00,7
CLEARANCES,1.20,33
AERIAL_DUELS_WON,1.12,48
