Maxim Choupo-Moting,Eric,Bayern Munich
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.85,98
NON_PEN_XG,0.49,84
TOTAL_SHOTS,2.72,69
ASSISTS,0.00,5
XA,0.13,55
NON_PEN_XG+XA,0.62,79
SHOT_CREATIONS,2.55,66
PASSES_ATTEMPTED,24.88,58
PASS_COMPLETION_PERCENTAGE,79.2,87
PROGRESSIVE_PASSES,1.70,61
PROGRESSIVE CARRIES,3.06,56
DRIBBLES_COMPLETED,2.21,95
TOUCHES_IN_AREA,7.13,91
PROGRESSIVE_PASSES_RECIEVED,8.15,62
PRESSURES,16.05,66
TACKLES,1.44,95
INTERCEPTIONS,0.34,40
BLOCKS,0.59,29
CLEARANCES,0.68,53
AERIAL_DUELS_WON,1.78,53
