Süle,Niklas,Bayern Munich
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,46
NON_PEN_XG,0.07,80
TOTAL_SHOTS,1.15,99
ASSISTS,0.04,72
XA,0.04,87
NON_PEN_XG+XA,0.10,89
SHOT_CREATIONS,1.58,99
PASSES_ATTEMPTED,74.77,96
PASS_COMPLETION_PERCENTAGE,91.6,90
PROGRESSIVE_PASSES,4.83,94
PROGRESSIVE CARRIES,4.68,88
DRIBBLES_COMPLETED,0.72,96
TOUCHES_IN_AREA,1.51,95
PROGRESSIVE_PASSES_RECIEVED,0.90,97
PRESSURES,8.75,50
TACKLES,1.48,50
INTERCEPTIONS,1.44,27
BLOCKS,1.30,14
CLEARANCES,2.56,1
AERIAL_DUELS_WON,1.76,13
