Musiala,Jamal,Bayern Munich
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.44,94
NON_PEN_XG,0.26,73
TOTAL_SHOTS,2.16,59
ASSISTS,0.33,89
XA,0.19,60
NON_PEN_XG+XA,0.45,67
SHOT_CREATIONS,3.05,43
PASSES_ATTEMPTED,39.46,54
PASS_COMPLETION_PERCENTAGE,83.7,95
PROGRESSIVE_PASSES,3.93,71
PROGRESSIVE CARRIES,6.59,62
DRIBBLES_COMPLETED,3.05,93
TOUCHES_IN_AREA,6.37,89
PROGRESSIVE_PASSES_RECIEVED,8.31,87
PRESSURES,23.83,97
TACKLES,2.44,95
INTERCEPTIONS,2.27,99
BLOCKS,2.11,97
CLEARANCES,0.17,10
AERIAL_DUELS_WON,0.55,40
