Goretzka,Leon,Bayern Munich
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,96
NON_PEN_XG,0.24,99
TOTAL_SHOTS,2.75,99
ASSISTS,0.23,94
XA,0.20,96
NON_PEN_XG+XA,0.44,99
SHOT_CREATIONS,3.40,95
PASSES_ATTEMPTED,58.05,71
PASS_COMPLETION_PERCENTAGE,87.0,75
PROGRESSIVE_PASSES,5.84,87
PROGRESSIVE CARRIES,4.92,74
DRIBBLES_COMPLETED,0.46,19
TOUCHES_IN_AREA,3.59,97
PROGRESSIVE_PASSES_RECIEVED,3.59,89
PRESSURES,15.80,26
TACKLES,2.33,55
INTERCEPTIONS,2.44,93
BLOCKS,1.45,42
CLEARANCES,1.26,38
AERIAL_DUELS_WON,1.95,80
