Upamecano,Dayot,Bayern Munich
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,38
NON_PEN_XG,0.03,26
TOTAL_SHOTS,0.27,14
ASSISTS,0.11,99
XA,0.05,94
NON_PEN_XG+XA,0.07,65
SHOT_CREATIONS,0.92,87
PASSES_ATTEMPTED,85.28,99
PASS_COMPLETION_PERCENTAGE,89.3,74
PROGRESSIVE_PASSES,5.40,98
PROGRESSIVE CARRIES,5.62,95
DRIBBLES_COMPLETED,0.52,89
TOUCHES_IN_AREA,0.98,70
PROGRESSIVE_PASSES_RECIEVED,0.24,72
PRESSURES,13.68,94
TACKLES,2.31,88
INTERCEPTIONS,2.25,84
BLOCKS,1.47,29
CLEARANCES,3.64,11
AERIAL_DUELS_WON,3.55,84
