Sané,Leroy,Bayern Munich
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.38,86
NON_PEN_XG,0.42,93
TOTAL_SHOTS,3.64,97
ASSISTS,0.41,96
XA,0.26,85
NON_PEN_XG+XA,0.68,95
SHOT_CREATIONS,4.57,88
PASSES_ATTEMPTED,42.92,64
PASS_COMPLETION_PERCENTAGE,79.8,73
PROGRESSIVE_PASSES,3.39,54
PROGRESSIVE CARRIES,8.16,84
DRIBBLES_COMPLETED,3.34,96
TOUCHES_IN_AREA,6.62,91
PROGRESSIVE_PASSES_RECIEVED,10.40,96
PRESSURES,18.26,70
TACKLES,1.56,65
INTERCEPTIONS,0.96,57
BLOCKS,1.15,47
CLEARANCES,0.11,3
AERIAL_DUELS_WON,0.25,12
