Pavard,Benjamin,Bayern Munich
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,55
TOTAL_SHOTS,0.70,64
ASSISTS,0.10,61
XA,0.10,65
NON_PEN_XG+XA,0.14,63
SHOT_CREATIONS,1.91,63
PASSES_ATTEMPTED,80.58,97
PASS_COMPLETION_PERCENTAGE,86.7,95
PROGRESSIVE_PASSES,6.87,97
PROGRESSIVE CARRIES,6.23,82
DRIBBLES_COMPLETED,0.27,6
TOUCHES_IN_AREA,1.47,56
PROGRESSIVE_PASSES_RECIEVED,1.84,39
PRESSURES,11.09,25
TACKLES,2.01,48
INTERCEPTIONS,1.88,72
BLOCKS,2.18,75
CLEARANCES,2.48,55
AERIAL_DUELS_WON,1.94,87
