Tolisso,Corentin,Bayern Munich
CM,DM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,76
NON_PEN_XG,0.20,97
TOTAL_SHOTS,1.65,90
ASSISTS,0.21,91
XA,0.09,69
NON_PEN_XG+XA,0.28,91
SHOT_CREATIONS,2.37,73
PASSES_ATTEMPTED,68.27,88
PASS_COMPLETION_PERCENTAGE,87.0,75
PROGRESSIVE_PASSES,8.03,99
PROGRESSIVE CARRIES,4.22,58
DRIBBLES_COMPLETED,0.51,25
TOUCHES_IN_AREA,2.37,88
PROGRESSIVE_PASSES_RECIEVED,3.30,86
PRESSURES,20.08,69
TACKLES,1.96,36
INTERCEPTIONS,0.93,10
BLOCKS,1.54,50
CLEARANCES,1.65,58
AERIAL_DUELS_WON,1.44,62
