Rode,Sebastian,Eint Frankfurt
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,68
NON_PEN_XG,0.03,24
TOTAL_SHOTS,0.17,1
ASSISTS,0.00,11
XA,0.05,34
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,2.50,78
PASSES_ATTEMPTED,58.45,72
PASS_COMPLETION_PERCENTAGE,85.8,66
PROGRESSIVE_PASSES,5.41,82
PROGRESSIVE CARRIES,6.66,91
DRIBBLES_COMPLETED,0.33,9
TOUCHES_IN_AREA,0.83,35
PROGRESSIVE_PASSES_RECIEVED,1.75,52
PRESSURES,25.98,97
TACKLES,2.83,80
INTERCEPTIONS,2.58,96
BLOCKS,2.50,97
CLEARANCES,1.17,31
AERIAL_DUELS_WON,1.00,41
