"b'Jakic, Kristijan'",Eint Frankfurt
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,48
NON_PEN_XG,0.09,73
TOTAL_SHOTS,1.21,73
ASSISTS,0.05,39
XA,0.03,20
NON_PEN_XG+XA,0.13,46
SHOT_CREATIONS,1.49,33
PASSES_ATTEMPTED,38.13,17
PASS_COMPLETION_PERCENTAGE,75.7,8
PROGRESSIVE_PASSES,3.52,43
PROGRESSIVE CARRIES,3.23,35
DRIBBLES_COMPLETED,0.96,63
TOUCHES_IN_AREA,1.40,64
PROGRESSIVE_PASSES_RECIEVED,1.69,50
PRESSURES,24.34,92
TACKLES,2.27,52
INTERCEPTIONS,1.45,37
BLOCKS,2.75,99
CLEARANCES,1.69,63
AERIAL_DUELS_WON,2.02,82
