Hrustic,Ajdin,Eint Frankfurt
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,84
NON_PEN_XG,0.07,55
TOTAL_SHOTS,2.16,97
ASSISTS,0.00,11
XA,0.12,84
NON_PEN_XG+XA,0.19,75
SHOT_CREATIONS,2.83,86
PASSES_ATTEMPTED,75.72,94
PASS_COMPLETION_PERCENTAGE,82.9,44
PROGRESSIVE_PASSES,5.93,89
PROGRESSIVE CARRIES,6.06,87
DRIBBLES_COMPLETED,1.08,72
TOUCHES_IN_AREA,2.02,84
PROGRESSIVE_PASSES_RECIEVED,3.64,89
PRESSURES,16.84,33
TACKLES,1.48,13
INTERCEPTIONS,0.81,6
BLOCKS,2.29,94
CLEARANCES,0.81,14
AERIAL_DUELS_WON,0.67,21
