Hinteregger,Martin,Eint Frankfurt
DF,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,84
NON_PEN_XG,0.07,83
TOTAL_SHOTS,0.90,93
ASSISTS,0.00,28
XA,0.02,74
NON_PEN_XG+XA,0.10,87
SHOT_CREATIONS,0.75,76
PASSES_ATTEMPTED,61.88,74
PASS_COMPLETION_PERCENTAGE,82.3,19
PROGRESSIVE_PASSES,4.05,87
PROGRESSIVE CARRIES,2.34,43
DRIBBLES_COMPLETED,0.25,60
TOUCHES_IN_AREA,1.12,80
PROGRESSIVE_PASSES_RECIEVED,0.28,77
PRESSURES,11.29,79
TACKLES,2.49,94
INTERCEPTIONS,1.81,59
BLOCKS,1.71,57
CLEARANCES,5.46,65
AERIAL_DUELS_WON,4.30,97
