Lindstrøm,Jesper,Eint Frankfurt
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,65
NON_PEN_XG,0.23,61
TOTAL_SHOTS,2.38,68
ASSISTS,0.29,82
XA,0.28,86
NON_PEN_XG+XA,0.51,79
SHOT_CREATIONS,2.66,24
PASSES_ATTEMPTED,24.80,3
PASS_COMPLETION_PERCENTAGE,66.7,8
PROGRESSIVE_PASSES,1.33,2
PROGRESSIVE CARRIES,4.66,21
DRIBBLES_COMPLETED,1.14,26
TOUCHES_IN_AREA,5.04,75
PROGRESSIVE_PASSES_RECIEVED,7.51,75
PRESSURES,24.04,97
TACKLES,1.33,48
INTERCEPTIONS,1.71,98
BLOCKS,1.71,88
CLEARANCES,0.57,57
AERIAL_DUELS_WON,0.48,31
