Kamada,Daichi,Eint Frankfurt
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,48
NON_PEN_XG,0.24,68
TOTAL_SHOTS,1.64,30
ASSISTS,0.24,70
XA,0.15,39
NON_PEN_XG+XA,0.39,54
SHOT_CREATIONS,3.34,57
PASSES_ATTEMPTED,36.80,42
PASS_COMPLETION_PERCENTAGE,77.7,59
PROGRESSIVE_PASSES,4.14,76
PROGRESSIVE CARRIES,4.65,20
DRIBBLES_COMPLETED,1.46,41
TOUCHES_IN_AREA,3.73,44
PROGRESSIVE_PASSES_RECIEVED,8.52,91
PRESSURES,18.75,73
TACKLES,2.00,86
INTERCEPTIONS,0.80,39
BLOCKS,1.22,54
CLEARANCES,0.72,73
AERIAL_DUELS_WON,0.77,63
