Borré,Rafael,Eint Frankfurt
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,16
NON_PEN_XG,0.34,45
TOTAL_SHOTS,1.81,14
ASSISTS,0.16,63
XA,0.09,27
NON_PEN_XG+XA,0.42,35
SHOT_CREATIONS,2.08,40
PASSES_ATTEMPTED,28.10,73
PASS_COMPLETION_PERCENTAGE,72.9,51
PROGRESSIVE_PASSES,1.33,42
PROGRESSIVE CARRIES,2.77,50
DRIBBLES_COMPLETED,0.90,43
TOUCHES_IN_AREA,4.52,29
PROGRESSIVE_PASSES_RECIEVED,7.72,55
PRESSURES,25.71,99
TACKLES,1.01,72
INTERCEPTIONS,0.37,47
BLOCKS,1.28,91
CLEARANCES,0.21,11
AERIAL_DUELS_WON,2.61,70
