Petter Hauge,Jens,Eint Frankfurt
DF,FW,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,83
NON_PEN_XG,0.23,63
TOTAL_SHOTS,1.56,25
ASSISTS,0.00,1
XA,0.13,28
NON_PEN_XG+XA,0.36,44
SHOT_CREATIONS,2.94,37
PASSES_ATTEMPTED,36.61,41
PASS_COMPLETION_PERCENTAGE,74.5,41
PROGRESSIVE_PASSES,3.03,39
PROGRESSIVE CARRIES,3.72,7
DRIBBLES_COMPLETED,2.68,90
TOUCHES_IN_AREA,3.46,37
PROGRESSIVE_PASSES_RECIEVED,7.18,67
PRESSURES,19.64,78
TACKLES,0.87,14
INTERCEPTIONS,0.26,1
BLOCKS,1.30,60
CLEARANCES,0.35,27
AERIAL_DUELS_WON,0.87,66
