da Costa,Danny,Eint Frankfurt
DM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,20
TOTAL_SHOTS,0.35,22
ASSISTS,0.05,31
XA,0.09,59
NON_PEN_XG+XA,0.11,39
SHOT_CREATIONS,1.30,29
PASSES_ATTEMPTED,40.91,8
PASS_COMPLETION_PERCENTAGE,62.7,1
PROGRESSIVE_PASSES,4.56,78
PROGRESSIVE CARRIES,3.31,18
DRIBBLES_COMPLETED,1.10,73
TOUCHES_IN_AREA,1.20,44
PROGRESSIVE_PASSES_RECIEVED,1.20,18
PRESSURES,13.39,61
TACKLES,1.86,40
INTERCEPTIONS,1.75,62
BLOCKS,1.45,17
CLEARANCES,3.31,87
AERIAL_DUELS_WON,1.70,81
