Younes,Amin,Eint Frankfurt
LAM,AM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,56
NON_PEN_XG,0.21,54
TOTAL_SHOTS,2.14,59
ASSISTS,0.23,66
XA,0.11,13
NON_PEN_XG+XA,0.31,30
SHOT_CREATIONS,3.59,66
PASSES_ATTEMPTED,45.27,75
PASS_COMPLETION_PERCENTAGE,74.7,44
PROGRESSIVE_PASSES,7.19,98
PROGRESSIVE CARRIES,9.10,91
DRIBBLES_COMPLETED,4.21,99
TOUCHES_IN_AREA,3.90,50
PROGRESSIVE_PASSES_RECIEVED,8.56,91
PRESSURES,22.33,95
TACKLES,1.91,82
INTERCEPTIONS,1.22,79
BLOCKS,1.53,78
CLEARANCES,0.23,14
AERIAL_DUELS_WON,0.08,2
