N'Dicka,Obite,Eint Frankfurt
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,95
NON_PEN_XG,0.05,64
TOTAL_SHOTS,0.78,86
ASSISTS,0.05,82
XA,0.01,51
NON_PEN_XG+XA,0.07,57
SHOT_CREATIONS,0.89,86
PASSES_ATTEMPTED,58.53,67
PASS_COMPLETION_PERCENTAGE,87.0,51
PROGRESSIVE_PASSES,3.27,71
PROGRESSIVE CARRIES,4.18,82
DRIBBLES_COMPLETED,0.38,80
TOUCHES_IN_AREA,1.13,81
PROGRESSIVE_PASSES_RECIEVED,0.70,95
PRESSURES,13.44,94
TACKLES,1.81,72
INTERCEPTIONS,1.78,56
BLOCKS,2.43,97
CLEARANCES,4.99,49
AERIAL_DUELS_WON,3.83,90
