Durm,Erik,Eint Frankfurt
DF,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,65
NON_PEN_XG,0.07,82
TOTAL_SHOTS,0.89,79
ASSISTS,0.17,84
XA,0.13,81
NON_PEN_XG+XA,0.21,83
SHOT_CREATIONS,1.55,47
PASSES_ATTEMPTED,48.72,31
PASS_COMPLETION_PERCENTAGE,71.5,12
PROGRESSIVE_PASSES,3.55,50
PROGRESSIVE CARRIES,4.33,44
DRIBBLES_COMPLETED,0.44,18
TOUCHES_IN_AREA,1.72,66
PROGRESSIVE_PASSES_RECIEVED,2.61,69
PRESSURES,13.37,60
TACKLES,1.66,26
INTERCEPTIONS,1.33,28
BLOCKS,1.50,20
CLEARANCES,1.94,31
AERIAL_DUELS_WON,1.28,57
